0,2
1,12
2,20
3,25
4,53
5,68
6,64
7,99
8,138
9,165
10,205
11,231
12,358
13,482
14,271
15,624
16,1388
17,191
18,1093
19,1342
20,1624
21,1933
22,2400
23,7826
24,8551
25,16659
26,62121
27,103780
28,599
29,141504
30,40357
31,32722
32,46549
33,42928
34,38185
35,40009
36,76102
37,1615
38,71587
39,27395
40,9365
41,32658
42,30193
43,28733
44,32304
45,25931
46,23913
47,22353
48,21966
49,21078
50,20320
51,19387
52,19435
53,19049
54,17642
55,20065
56,13583
57,16060
58,17575
59,14765
60,12233
61,15899
62,13762
63,12200
64,14931
65,12336
66,14314
67,13012
68,12888
69,12621
70,12423
71,11718
72,12407
73,11336
74,12809
75,10734
76,11783
77,11827
78,11879
79,12067
80,11842
81,11432
82,11652
83,10803
84,11463
85,11037
86,11029
87,11795
88,10805
89,11364
90,12002
91,12252
92,12140
93,11772
94,11559
95,11526
96,12462
97,12676
98,11244
99,12637
100,12109
101,12310
102,11927
103,12826
104,11259
105,13805
106,13149
107,13882
108,13170
109,12742
110,12435
111,12329
112,15370
113,13677
114,12374
115,13254
116,13811
117,12731
118,12328
119,13335
120,12685
121,13692
122,13375
123,12785
124,12500
125,12727
126,13548
127,12846
128,14018
129,13085
130,12823
131,12905
132,13015
133,12662
134,13240
135,13187
136,12791
137,12902
138,13287
139,12318
140,12909
141,12553
142,11570
143,12556
144,11338
145,11778
146,12802
147,12514
148,12099
149,12185
150,11273
151,11508
152,11960
153,12067
154,10527
155,10761
156,11119
157,11357
158,11127
159,11644
160,11483
161,11308
162,10629
163,10739
164,10847
165,10334
166,10454
167,10560
168,9911
169,9929
170,9187
171,10485
172,10073
173,9771
174,9720
175,9909
176,10327
177,10746
178,10508
179,10631
180,10807
181,10440
182,10174
183,9408
184,9075
185,8677
186,8943
187,8383
188,8246
189,8705
190,7874
191,8731
192,7157
193,7210
194,7072
195,7083
196,7148
197,6915
198,7017
199,6661
200,6244
201,5877
202,5858
203,5396
204,5579
205,5794
206,5555
207,6061
208,5654
209,5863
210,5457
211,5434
212,5225
213,4980
214,3394
215,6025
216,6872
217,6979
218,6651
219,6418
220,6697
221,6198
222,6573
223,6107
224,6124
225,5965
226,5856
227,6058
228,5734
229,5433
230,5045
231,5140
232,5170
233,5934
234,5618
235,5184
236,5737
237,6884
238,4511
239,2281
240,675
241,3868
242,5921
243,5188
244,1599
245,506
246,168
247,80
248,50
249,39
250,16
251,18
252,4
253,1
254,1
255,0
