0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,3
15,16
16,22
17,13
18,41
19,41
20,35
21,22
22,16
23,13
24,16
25,37
26,42
27,58
28,72
29,132
30,172
31,228
32,287
33,340
34,506
35,428
36,696
37,634
38,852
39,1272
40,984
41,1887
42,2474
43,3186
44,12551
45,8012
46,89448
47,4706
48,59677
49,23593
50,35127
51,53471
52,49332
53,53196
54,41910
55,41490
56,34199
57,36931
58,37392
59,33602
60,27621
61,31958
62,29294
63,29211
64,31639
65,30156
66,34988
67,33434
68,35055
69,33204
70,32599
71,31113
72,38928
73,33830
74,39997
75,28024
76,37998
77,32762
78,33751
79,37612
80,36402
81,31703
82,34024
83,31216
84,33280
85,34464
86,32609
87,35408
88,30690
89,31846
90,34289
91,35281
92,34448
93,34010
94,35240
95,33437
96,38113
97,35838
98,32398
99,34158
100,33886
101,32537
102,31666
103,32860
104,29065
105,32746
106,31992
107,31653
108,30880
109,29918
110,28948
111,27658
112,31069
113,28387
114,25386
115,26728
116,27526
117,24656
118,24326
119,23521
120,23701
121,23889
122,22779
123,22637
124,22497
125,20690
126,20626
127,19647
128,18099
129,16741
130,15883
131,14974
132,15987
133,13930
134,13041
135,11089
136,10478
137,9300
138,9387
139,8436
140,8558
141,7873
142,7727
143,7392
144,6786
145,6636
146,6680
147,6168
148,5848
149,5692
150,5521
151,5193
152,5286
153,5048
154,4525
155,4551
156,4391
157,4377
158,4114
159,4113
160,3815
161,3642
162,3432
163,3208
164,3120
165,2867
166,2775
167,2734
168,2517
169,2392
170,2119
171,2040
172,1857
173,1755
174,1533
175,1413
176,1278
177,1215
178,945
179,922
180,729
181,655
182,617
183,544
184,401
185,369
186,337
187,276
188,222
189,235
190,184
191,185
192,137
193,116
194,102
195,96
196,73
197,59
198,53
199,46
200,48
201,33
202,23
203,29
204,19
205,13
206,15
207,17
208,8
209,9
210,12
211,5
212,6
213,5
214,4
215,3
216,1
217,0
218,2
219,1
220,1
221,2
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
